RecordID	RID	Squib	ReferenceReaction
74	66	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D2486A80ABC0B380501374BA03AE4B4E?id=1991YAR/PEN7330-7337:6	ClCH=CHOO(.) → Products
75	67	http://kinetics.nist.gov/kinetics/Detail;jsessionid=90267CACBC8721864BE41A14309BC176?id=1991YAR/PEN7330-7337:5	ClCH=CHOO(.) → Products
97	86	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FE8DB882D596622C95C801EE5D266800?id=1993BAN/SCA2473-2477:6	Methyl, ethoxy(1-methylethoxy)phenyl- → Benzoic acid 1-methylethyl ester + ·C2H5
99	87	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2C274F2BE75B65B98383801CEF27106F?id=1993BAN/SCA2473-2477:4	Methyl, methoxy(1-methylethoxy)phenyl- → Methylbenzoate + iso-C3H7
101	88	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4C824505AE75C3F1AACF5D53D78B09CF?id=1993BAN/SCA2473-2477:2	Methyl, ethoxymethoxyphenyl- → Ethyl benzoate + ·CH3
113	99	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F9F8D554932D7F57607E37EFB756AC6D?id=2004JOH/CAS519-523:4	O2 + CH3CH(O.)CH2CH2CH3 → Products
124	103	http://kinetics.nist.gov/kinetics/Detail;jsessionid=07DAB655B58250C1C0ADB399F836E982?id=1995ATK/KWO23-37:2	O2 + CH3CH(O.)CH2CH2CH3 → n-C3H7C(O)CH3 + HO2
133	109	http://kinetics.nist.gov/kinetics/Detail;jsessionid=31D67F7F19A0E95C2AF4F29EE7B028B3?id=1996WAL/HUR18116-18122:3	O2 + CF3CFHO → CF3COF + HO2
194	140	http://kinetics.nist.gov/kinetics/Detail;jsessionid=25C47A542126A209A417C0204CBCCB7D?id=1997BOY/LES323-331:5	CH3CH(OH)CH(CH3)OO(·) + CH3CH(OH)CH(CH3)OO(·) → CH3CH(OH)CH(OH)CH3 + CH3CH(OH)C(O)CH3 + O2
209	154	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B42F8F347AA85D52918B132A4CE472EC?id=2009MEB/KIS9825-9833:5	5,5'-Bicyclopentadienyl → Products
231	171	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FBF79E75B55B3B93A2A1145FDEA0171E?id=1989ALA/ALB579-581:8	CH3(CH2)4COOH → CH3C(O)OH + iso-C4H8
232	171	http://kinetics.nist.gov/kinetics/Detail;jsessionid=FBF79E75B55B3B93A2A1145FDEA0171E?id=1989ALA/ALB579-581:9	CH3C(S)NHC(CH3)3 → CH3CSNH2 + iso-C4H8
243	173	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B8A697BF88F24E402C37DC5BB344D9BA?id=1989GAJ/SQU6717-6728:16	Cyclopropane, 1-(2,2-dimethyl-1-methylenepropyl)-2-methyl-, trans- → CH2=CHCH2CH=C(CH3)C(CH3)3
281	201	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F317DA9B1938B74FC272A6E3143105FC?id=1988PER/PHA603:1	1H-Pyrazole, 1-(2-chloroethyl)- → CH2=CHCl + Pyrazole
285	204	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EFBE9D292EC02EF4A0473BE953010020?id=1990CIA/RAG8204-8206:2	Cyclopropane-1,2-d2, 1R-trans- → Products
289	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1992YAR/PEN369-383:7	CH2ClCH2O2 + CH2ClCH2O2 → CH2ClCH2OH + CH2ClCHO + O2
290	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1990WAL/AND189:4	CH2ClCH2O2 + CH2ClCH2O2 → Products
291	205	http://kinetics.nist.gov/kinetics/Detail;jsessionid=667362F647FE2C056D842DD8FE2E27AE?id=1992WAL/DAG667-710:45	CH2ClCH2O2 + CH2ClCH2O2 → Products
294	206	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7BA66D975D1867BC815F265305090386?id=1990WAL/AND189:3	CH2ClCH2O2 + CH2ClCH2O2 → Products
319	222	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0321CA57D13B6EEFA11E3715A0BF8AD6?id=1967DIJ/KER864:4	NF2 + CH2CH(NF2)Br → F2NCH2CHBrNF2
322	223	http://kinetics.nist.gov/kinetics/Detail;jsessionid=15AC0EEE859E976F5A06033D2A0FE493?id=1967DIJ/KER864:3	NF2 + CH2CH(NF2)Cl → F2NCH2CHClNF2
325	224	http://kinetics.nist.gov/kinetics/Detail;jsessionid=1610F6086DF4EF63CCD1B9ED9A23606F?id=1967DIJ/KER105:18	NF2 + Cyclopentyl, 2-(difluoroamino)- → 1,2-Cyclopentanediamino, N,N,N',N'-tetrafluoro-
328	225	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0023B75A0E08CBDA51E831E31CC48F27?id=1967DIJ/KER105:17	NF2 + (CH3)2C(NF2)C(CH3)2 → Butane, 2,3-(difluoroamino)-2,3-dimethyl-
331	226	http://kinetics.nist.gov/kinetics/Detail;jsessionid=998A6C5F927758DEC9F94A9DCA50D5C5?id=1967DIJ/KER105:16	NF2 + CH3CH(NF2)C(CH3)2 → CH3CH(NF2)C(NF2)(CH3)2
336	228	http://kinetics.nist.gov/kinetics/Detail;jsessionid=850AA916E8F9BA441216324EB57F3BED?id=1967DIJ/KER105:15	NF2 + CH3CH(NF2)CHCH3 → CH3CH(NF2)CH(NF2)CH3
339	229	http://kinetics.nist.gov/kinetics/Detail;jsessionid=2632A642F6560B7477BA4376BBDB881E?id=1967DIJ/KER105:14	NF2 + CH3CH(NF2)CHCH3 → CH3CH(NF2)CH(NF2)CH3
342	230	http://kinetics.nist.gov/kinetics/Detail;jsessionid=7A1B4EA1C7EA71DD7CCEFEA91DDFE32E?id=1967DIJ/KER105:13	NF2 + C2H5CHCH2NF2 → CH3CH2CH(NF2)CH2NF2
394	273	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4D0B2F52C04AE5E2F4C1ABABEFE099BD?id=1987HOL/RAK401:4	CF3CH2CHCl + CF3CH2CHCl → Adduct
